"Город","Id города","StableId","X","Y","Индекс","Название","Назначение","Название слоя","Застройщики","Субъект федерации","Район области","Район","Площадь","Этажность","Количество подъездов","Количество квартир","коэф семейности 2.7","Округ","Улица1","Дом1","Улица2","Дом2","Улица3","Дом3"
"Москва","4504222397630173","4504235282569823","37.5105324345619","55.6263291379868","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","22319","22","3","252","680","Юго-Западный административный округ","Профсоюзная улица","142","","","",""
"Москва","4504222397630173","4504235282569872","37.5120580434089","55.6279735008296","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","25521","17","5","327","883","Юго-Западный административный округ","Профсоюзная улица","138","","","",""
"Москва","4504222397630173","4504235282569897","37.5127236950344","55.6285489835021","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","25910","17","5","324","875","Юго-Западный административный округ","Профсоюзная улица","136 к1","","","",""
"Москва","4504222397630173","4504235282570356","37.5158264760258","55.6317703201248","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","24388","17","5","320","864","Юго-Западный административный округ","Профсоюзная улица","128","","","",""
"Москва","4504222397630173","4504235282570357","37.517871131444","55.6331254534358","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","14689","17","3","292","788","Юго-Западный административный округ","Профсоюзная улица","124","","","",""
"Москва","4504222397630173","4504235282570358","37.5171527487112","55.6324874804652","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","10820","17","2","128","346","Юго-Западный административный округ","Профсоюзная улица","126","","","",""
"Москва","4504222397630173","4504235282570364","37.5126345821582","55.6342176161785","117321","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","26583","9","12","431","1164","Юго-Западный административный округ","Островитянова улица","22 к2","","","",""
"Москва","4504222397630173","4504235282570368","37.5142421173592","55.6336226016579","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","26572","9","12","431","1164","Юго-Западный административный округ","Островитянова улица","26 к2","","","",""
"Москва","4504222397630173","4504235282570371","37.5158360879993","55.6330326598636","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","26581","9","12","431","1164","Юго-Западный административный округ","Островитянова улица","30 к2","","","",""
"Москва","4504222397630173","4504235282570386","37.5086410317312","55.6305088543272","117321","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","26586","9","12","431","1164","Юго-Западный административный округ","Профсоюзная улица","136 к4","","","",""
"Москва","4504222397630173","4504235282570388","37.5102590772209","55.6299225754614","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","26573","9","12","431","1164","Юго-Западный административный округ","Профсоюзная улица","136 к3","","","",""
"Москва","4504222397630173","4504235282570389","37.511863917476","55.6293414717141","117321","","Жилой дом","Жилые дома","","Москва город федерального значения","","Тёплый Стан","26575","9","12","431","1164","Юго-Западный административный округ","Профсоюзная улица","136 к2","","","",""
"Москва","4504222397630173","4504235282570392","37.5064421355787","55.6249076406885","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","26565","9","12","431","1164","Юго-Западный административный округ","Профсоюзная улица","146 к2","","","",""
"Москва","4504222397630173","4504235282570393","37.5056811727015","55.625863816417","117321","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","26555","9","12","430","1161","Юго-Западный административный округ","Профсоюзная улица","146 к3","","","",""
"Москва","4504222397630173","4504235282571122","37.4841693962558","55.6422268915878","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","36480","12","12","567","1531","Юго-Западный административный округ","Академика Бакулева улица","10","","","",""
"Москва","4504222397630173","4504235282571135","37.4865211856696","55.6431510423567","117513","","Жилой дом с административными помещениями","Жилые дома","","Москва город федерального значения","","Тёплый Стан","35938","12","12","567","1531","Юго-Западный административный округ","Академика Бакулева улица","6","","","",""
